name,processed_text,sentiment_label
Aloft Harlem,aloft harlem,Good
Cambria Hotel New York - Chelsea,cambria hotel new york chelsea,Very Good
Holiday Inn Express - Times Square by IHG,holiday inn express time squar ihg,Good
"U Hotel Fifth Avenue, Empire State Building",u hotel fifth avenu empir state build,Very Good
Pod Times Square,pod time squar,Very Good
Holiday Inn Express Manhattan Midtown West by IHG,holiday inn express manhattan midtown west ihg,Good
"The New Yorker, A Wyndham Hotel",new yorker wyndham hotel,Good
Hyatt Place New York City - Times Square,hyatt place new york citi time squar,Good
Hampton Inn by Hilton New York Times Square,hampton inn hilton new york time squar,Good
"The Mayfair Hotel Times Square, Ascend Hotel Collection",mayfair hotel time squar ascend hotel collect,Very Good
Home2 Suites By Hilton New York Times Square,home2 suit hilton new york time squar,Good
Renaissance New York Harlem Hotel,renaiss new york harlem hotel,Good
DoubleTree by Hilton New York Midtown Fifth Ave,doubletre hilton new york midtown fifth ave,Good
Hotel Edison Times Square,hotel edison time squar,Good
Citadines Connect Fifth Avenue New York,citadin connect fifth avenu new york,Good
Warwick New York,warwick new york,Very Good
Fairfield Inn by Marriott New York Manhattan/Financial District,fairfield inn marriott new york manhattanfinanci district,Good
Hotel Hayden New York,hotel hayden new york,Good
Millennium Hotel Broadway Times Square,millennium hotel broadway time squar,Good
The Chelsean New York,chelsean new york,Good
Hilton Garden Inn New York Times Square South,hilton garden inn new york time squar south,Very Good
TRYP by Wyndham New York City Times Square - Midtown,tryp wyndham new york citi time squar midtown,Good
Pestana CR7 Times Square,pestana cr7 time squar,Excellent
Hampton Inn Manhattan-35th St Empire State Bldg,hampton inn manhattan35th st empir state bldg,Very Good
Holiday Inn Express - Wall Street by IHG,holiday inn express wall street ihg,Good
Paramount Hotel Times Square,paramount hotel time squar,Good
Hampton Inn Times Square Central,hampton inn time squar central,Very Good
Leon Hotel LES,leon hotel le,Very Good
The FIDI Hotel,fidi hotel,Very Good
The Gregorian New York City,gregorian new york citi,Very Good
Romer Hell's Kitchen,romer hell kitchen,Excellent
Eurostars Wall Street,eurostar wall street,Very Good
voco Times Square South New York by IHG,voco time squar south new york ihg,Very Good
Pod 51,pod 51,Good
Sixty LES,sixti le,Good
Radio Hotel,radio hotel,Good
Millennium Downtown New York,millennium downtown new york,Good
Motto By Hilton New York City Times Square,motto hilton new york citi time squar,Very Good
New York Hilton Midtown,new york hilton midtown,Good
Element Times Square West,element time squar west,Very Good
Holiday Inn Manhattan 6th Ave - Chelsea by IHG,holiday inn manhattan 6th ave chelsea ihg,Good
SpringHill Suites by Marriott New York Manhattan/Times Square South,springhil suit marriott new york manhattantim squar south,Very Good
Holiday Inn Express New York City Chelsea by IHG,holiday inn express new york citi chelsea ihg,Good
Pod 39,pod 39,Very Good
DoubleTree by Hilton New York Times Square South,doubletre hilton new york time squar south,Very Good
Aloft Harlem,aloft harlem,Good
Cambria Hotel New York - Chelsea,cambria hotel new york chelsea,Very Good
Holiday Inn Express - Times Square by IHG,holiday inn express time squar ihg,Good
"U Hotel Fifth Avenue, Empire State Building",u hotel fifth avenu empir state build,Very Good
Pod Times Square,pod time squar,Very Good
Pod 39,pod 39,Very Good
Hyatt Place New York City - Times Square,hyatt place new york citi time squar,Good
Pod 51,pod 51,Good
The Gardens Sonesta ES Suites New York,garden sonesta e suit new york,Very Good
"The Mayfair Hotel Times Square, Ascend Hotel Collection",mayfair hotel time squar ascend hotel collect,Very Good
Home2 Suites By Hilton New York Times Square,home2 suit hilton new york time squar,Good
"The New Yorker, A Wyndham Hotel",new yorker wyndham hotel,Good
Renaissance New York Harlem Hotel,renaiss new york harlem hotel,Good
Citadines Connect Fifth Avenue New York,citadin connect fifth avenu new york,Good
TownePlace Suites by Marriott New York Manhattan/Times Square,towneplac suit marriott new york manhattantim squar,Very Good
Hotel Edison Times Square,hotel edison time squar,Good
Fairfield Inn by Marriott New York Manhattan/Financial District,fairfield inn marriott new york manhattanfinanci district,Good
Hilton Garden Inn New York Times Square South,hilton garden inn new york time squar south,Very Good
Hampton Inn by Hilton New York Times Square,hampton inn hilton new york time squar,Good
Hotel Hayden New York,hotel hayden new york,Good
Millennium Hotel Broadway Times Square,millennium hotel broadway time squar,Good
TownePlace Suites by Marriott New York Manhattan/Chelsea,towneplac suit marriott new york manhattanchelsea,Very Good
DoubleTree by Hilton New York Midtown Fifth Ave,doubletre hilton new york midtown fifth ave,Good
The Chelsean New York,chelsean new york,Good
Hyatt Place New York/Midtown-South,hyatt place new yorkmidtownsouth,Very Good
Hampton Inn Manhattan-35th St Empire State Bldg,hampton inn manhattan35th st empir state bldg,Very Good
Hampton Inn Times Square Central,hampton inn time squar central,Very Good
Eurostars Wall Street,eurostar wall street,Very Good
La Quinta by Wyndham Time Square South,la quinta wyndham time squar south,Very Good
TRYP by Wyndham New York City Times Square - Midtown,tryp wyndham new york citi time squar midtown,Good
Pestana CR7 Times Square,pestana cr7 time squar,Excellent
Romer Hell's Kitchen,romer hell kitchen,Excellent
Millennium Downtown New York,millennium downtown new york,Good
voco Times Square South New York by IHG,voco time squar south new york ihg,Very Good
Holiday Inn Express - Wall Street by IHG,holiday inn express wall street ihg,Good
The FIDI Hotel,fidi hotel,Very Good
SpringHill Suites by Marriott New York Manhattan/Times Square South,springhil suit marriott new york manhattantim squar south,Very Good
Element Times Square West,element time squar west,Very Good
Motto By Hilton New York City Times Square,motto hilton new york citi time squar,Very Good
"U Hotel Fifth Avenue, Empire State Building",u hotel fifth avenu empir state build,Very Good
"Dream Midtown, by Hyatt",dream midtown hyatt,Good
Leon Hotel LES,leon hotel le,Very Good
Paramount Hotel Times Square,paramount hotel time squar,Good
The Gregorian New York City,gregorian new york citi,Very Good
Holiday Inn Manhattan 6th Ave - Chelsea by IHG,holiday inn manhattan 6th ave chelsea ihg,Good
Sixty LES,sixti le,Good
The Fifty Sonesta Hotel New York,fifti sonesta hotel new york,Very Good
DoubleTree by Hilton New York Times Square South,doubletre hilton new york time squar south,Very Good
Warwick New York,warwick new york,Very Good
Fairfield By Marriott New York Manhattan Times Square,fairfield marriott new york manhattan time squar,Very Good
Pod Times Square,pod time squar,Very Good
Pod 39,pod 39,Very Good
Hyatt Place New York City - Times Square,hyatt place new york citi time squar,Good
Pod 51,pod 51,Good
The Gardens Sonesta ES Suites New York,garden sonesta e suit new york,Very Good
"The Mayfair Hotel Times Square, Ascend Hotel Collection",mayfair hotel time squar ascend hotel collect,Very Good
Home2 Suites By Hilton New York Times Square,home2 suit hilton new york time squar,Good
"The New Yorker, A Wyndham Hotel",new yorker wyndham hotel,Good
Renaissance New York Harlem Hotel,renaiss new york harlem hotel,Good
Citadines Connect Fifth Avenue New York,citadin connect fifth avenu new york,Good
TownePlace Suites by Marriott New York Manhattan/Times Square,towneplac suit marriott new york manhattantim squar,Very Good
Hotel Edison Times Square,hotel edison time squar,Good
Fairfield Inn by Marriott New York Manhattan/Financial District,fairfield inn marriott new york manhattanfinanci district,Good
Hilton Garden Inn New York Times Square South,hilton garden inn new york time squar south,Very Good
Hampton Inn by Hilton New York Times Square,hampton inn hilton new york time squar,Good
Hotel Hayden New York,hotel hayden new york,Good
Millennium Hotel Broadway Times Square,millennium hotel broadway time squar,Good
TownePlace Suites by Marriott New York Manhattan/Chelsea,towneplac suit marriott new york manhattanchelsea,Very Good
DoubleTree by Hilton New York Midtown Fifth Ave,doubletre hilton new york midtown fifth ave,Good
The Chelsean New York,chelsean new york,Good
Hyatt Place New York/Midtown-South,hyatt place new yorkmidtownsouth,Very Good
Hampton Inn Manhattan-35th St Empire State Bldg,hampton inn manhattan35th st empir state bldg,Very Good
Hampton Inn Times Square Central,hampton inn time squar central,Very Good
Eurostars Wall Street,eurostar wall street,Very Good
La Quinta by Wyndham Time Square South,la quinta wyndham time squar south,Very Good
TRYP by Wyndham New York City Times Square - Midtown,tryp wyndham new york citi time squar midtown,Good
Pestana CR7 Times Square,pestana cr7 time squar,Excellent
Romer Hell's Kitchen,romer hell kitchen,Excellent
Millennium Downtown New York,millennium downtown new york,Good
voco Times Square South New York by IHG,voco time squar south new york ihg,Very Good
Holiday Inn Express - Wall Street by IHG,holiday inn express wall street ihg,Good
The FIDI Hotel,fidi hotel,Very Good
SpringHill Suites by Marriott New York Manhattan/Times Square South,springhil suit marriott new york manhattantim squar south,Very Good
Element Times Square West,element time squar west,Very Good
Motto By Hilton New York City Times Square,motto hilton new york citi time squar,Very Good
"U Hotel Fifth Avenue, Empire State Building",u hotel fifth avenu empir state build,Very Good
"Dream Midtown, by Hyatt",dream midtown hyatt,Good
Leon Hotel LES,leon hotel le,Very Good
Paramount Hotel Times Square,paramount hotel time squar,Good
The Gregorian New York City,gregorian new york citi,Very Good
Holiday Inn Manhattan 6th Ave - Chelsea by IHG,holiday inn manhattan 6th ave chelsea ihg,Good
Sixty LES,sixti le,Good
The Fifty Sonesta Hotel New York,fifti sonesta hotel new york,Very Good
DoubleTree by Hilton New York Times Square South,doubletre hilton new york time squar south,Very Good
Warwick New York,warwick new york,Very Good
Fairfield By Marriott New York Manhattan Times Square,fairfield marriott new york manhattan time squar,Very Good
Pod Times Square,pod time squar,Very Good
Fairfield Inn by Marriott New York Manhattan/Financial District,fairfield inn marriott new york manhattanfinanci district,Good
Pod 39,pod 39,Very Good
Pod 51,pod 51,Good
Home2 Suites By Hilton New York Times Square,home2 suit hilton new york time squar,Good
Pestana CR7 Times Square,pestana cr7 time squar,Excellent
Renaissance New York Harlem Hotel,renaiss new york harlem hotel,Good
TownePlace Suites by Marriott New York Manhattan/Chelsea,towneplac suit marriott new york manhattanchelsea,Very Good
"The Mayfair Hotel Times Square, Ascend Hotel Collection",mayfair hotel time squar ascend hotel collect,Very Good
The Gregorian New York City,gregorian new york citi,Very Good
Hyatt Place New York City - Times Square,hyatt place new york citi time squar,Good
Hotel Edison Times Square,hotel edison time squar,Good
"The New Yorker, A Wyndham Hotel",new yorker wyndham hotel,Good
Millennium Downtown New York,millennium downtown new york,Good
Millennium Hotel Broadway Times Square,millennium hotel broadway time squar,Good
Hotel Hayden New York,hotel hayden new york,Good
Hilton Garden Inn New York Times Square South,hilton garden inn new york time squar south,Very Good
Hampton Inn by Hilton New York Times Square,hampton inn hilton new york time squar,Good
The Chelsean New York,chelsean new york,Good
voco Times Square South New York by IHG,voco time squar south new york ihg,Very Good
Romer Hell's Kitchen,romer hell kitchen,Excellent
Citadines Connect Fifth Avenue New York,citadin connect fifth avenu new york,Good
Hyatt Place New York/Midtown-South,hyatt place new yorkmidtownsouth,Very Good
SpringHill Suites by Marriott New York Manhattan/Times Square South,springhil suit marriott new york manhattantim squar south,Very Good
DoubleTree by Hilton New York Midtown Fifth Ave,doubletre hilton new york midtown fifth ave,Good
Motto By Hilton New York City Times Square,motto hilton new york citi time squar,Very Good
Hampton Inn Manhattan-35th St Empire State Bldg,hampton inn manhattan35th st empir state bldg,Very Good
"Hotel Shocard Broadway, Times Square",hotel shocard broadway time squar,Good
Eurostars Wall Street,eurostar wall street,Very Good
Courtyard New York Downtown Manhattan/Financial District,courtyard new york downtown manhattanfinanci district,Good
La Quinta by Wyndham Time Square South,la quinta wyndham time squar south,Very Good
TRYP by Wyndham New York City Times Square - Midtown,tryp wyndham new york citi time squar midtown,Good
Holiday Inn Express - Times Square by IHG,holiday inn express time squar ihg,Good
The FIDI Hotel,fidi hotel,Very Good
Element Times Square West,element time squar west,Very Good
Holiday Inn Express - Wall Street by IHG,holiday inn express wall street ihg,Good
Four Points by Sheraton New York Downtown,four point sheraton new york downtown,Good
Paramount Hotel Times Square,paramount hotel time squar,Good
The Muse New York,muse new york,Very Good
DoubleTree by Hilton New York Times Square South,doubletre hilton new york time squar south,Very Good
Fairfield By Marriott New York Manhattan Times Square,fairfield marriott new york manhattan time squar,Very Good
Sixty LES,sixti le,Good
Courtyard by Marriott New York Manhattan/ Fifth Avenue,courtyard marriott new york manhattan fifth avenu,Good
Delta Hotels by Marriott New York Times Square,delta hotel marriott new york time squar,Good
Pod Times Square,pod time squar,Very Good
Fairfield Inn by Marriott New York Manhattan/Financial District,fairfield inn marriott new york manhattanfinanci district,Good
Pod 39,pod 39,Very Good
Pod 51,pod 51,Good
Home2 Suites By Hilton New York Times Square,home2 suit hilton new york time squar,Good
Pestana CR7 Times Square,pestana cr7 time squar,Excellent
Renaissance New York Harlem Hotel,renaiss new york harlem hotel,Good
TownePlace Suites by Marriott New York Manhattan/Chelsea,towneplac suit marriott new york manhattanchelsea,Very Good
"The Mayfair Hotel Times Square, Ascend Hotel Collection",mayfair hotel time squar ascend hotel collect,Very Good
The Gregorian New York City,gregorian new york citi,Very Good
Hyatt Place New York City - Times Square,hyatt place new york citi time squar,Good
Hotel Edison Times Square,hotel edison time squar,Good
"The New Yorker, A Wyndham Hotel",new yorker wyndham hotel,Good
Millennium Downtown New York,millennium downtown new york,Good
Millennium Hotel Broadway Times Square,millennium hotel broadway time squar,Good
Hotel Hayden New York,hotel hayden new york,Good
Hilton Garden Inn New York Times Square South,hilton garden inn new york time squar south,Very Good
Hampton Inn by Hilton New York Times Square,hampton inn hilton new york time squar,Good
The Chelsean New York,chelsean new york,Good
voco Times Square South New York by IHG,voco time squar south new york ihg,Very Good
Romer Hell's Kitchen,romer hell kitchen,Excellent
Citadines Connect Fifth Avenue New York,citadin connect fifth avenu new york,Good
Hyatt Place New York/Midtown-South,hyatt place new yorkmidtownsouth,Very Good
SpringHill Suites by Marriott New York Manhattan/Times Square South,springhil suit marriott new york manhattantim squar south,Very Good
DoubleTree by Hilton New York Midtown Fifth Ave,doubletre hilton new york midtown fifth ave,Good
Motto By Hilton New York City Times Square,motto hilton new york citi time squar,Very Good
Hampton Inn Manhattan-35th St Empire State Bldg,hampton inn manhattan35th st empir state bldg,Very Good
"Hotel Shocard Broadway, Times Square",hotel shocard broadway time squar,Good
Eurostars Wall Street,eurostar wall street,Very Good
Courtyard New York Downtown Manhattan/Financial District,courtyard new york downtown manhattanfinanci district,Good
La Quinta by Wyndham Time Square South,la quinta wyndham time squar south,Very Good
TRYP by Wyndham New York City Times Square - Midtown,tryp wyndham new york citi time squar midtown,Good
Holiday Inn Express - Times Square by IHG,holiday inn express time squar ihg,Good
The FIDI Hotel,fidi hotel,Very Good
Element Times Square West,element time squar west,Very Good
Holiday Inn Express - Wall Street by IHG,holiday inn express wall street ihg,Good
Four Points by Sheraton New York Downtown,four point sheraton new york downtown,Good
Paramount Hotel Times Square,paramount hotel time squar,Good
The Muse New York,muse new york,Very Good
DoubleTree by Hilton New York Times Square South,doubletre hilton new york time squar south,Very Good
Fairfield By Marriott New York Manhattan Times Square,fairfield marriott new york manhattan time squar,Very Good
Sixty LES,sixti le,Good
Courtyard by Marriott New York Manhattan/ Fifth Avenue,courtyard marriott new york manhattan fifth avenu,Good
Delta Hotels by Marriott New York Times Square,delta hotel marriott new york time squar,Good
"Dream Midtown, by Hyatt",dream midtown hyatt,Good
Westgate New York Grand Central,westgat new york grand central,Very Good
TownePlace Suites by Marriott New York Manhattan/Times Square,towneplac suit marriott new york manhattantim squar,Very Good
Riverside Tower Hotel,riversid tower hotel,Very Good
Hyatt Place New York City - Times Square,hyatt place new york citi time squar,Good
Home2 Suites By Hilton New York Times Square,home2 suit hilton new york time squar,Good
Kixby,kixbi,Very Good
Paramount Hotel Times Square,paramount hotel time squar,Good
"The Mayfair Hotel Times Square, Ascend Hotel Collection",mayfair hotel time squar ascend hotel collect,Very Good
Chelsea Rooms NYC,chelsea room nyc,Good
Hampton Inn by Hilton New York Times Square,hampton inn hilton new york time squar,Good
"The New Yorker, A Wyndham Hotel",new yorker wyndham hotel,Good
DoubleTree by Hilton New York Midtown Fifth Ave,doubletre hilton new york midtown fifth ave,Good
Hotel Edison Times Square,hotel edison time squar,Good
TRYP by Wyndham New York City Times Square - Midtown,tryp wyndham new york citi time squar midtown,Good
The Chelsean New York,chelsean new york,Good
Radio Hotel,radio hotel,Good
Hotel Hayden New York,hotel hayden new york,Good
The Gregorian New York City,gregorian new york citi,Very Good
Hampton Inn Manhattan-35th St Empire State Bldg,hampton inn manhattan35th st empir state bldg,Very Good
Royalton New York,royalton new york,Good
Madison LES Hotel,madison le hotel,Good
UNTITLED at 3 Freeman Alley,untitl 3 freeman alley,Very Good
City Club Hotel,citi club hotel,Good
45 Times Square Hotel,45 time squar hotel,Very Good
"The Cloud One New York-Downtown, by the Motel One Group",cloud one new yorkdowntown motel one group,Excellent
InterContinental New York Barclay Hotel by IHG,intercontinent new york barclay hotel ihg,Very Good
Warwick New York,warwick new york,Very Good
The Shelburne Sonesta New York,shelburn sonesta new york,Very Good
New York Hilton Midtown,new york hilton midtown,Good
Pestana CR7 Times Square,pestana cr7 time squar,Excellent
Motto By Hilton New York City Times Square,motto hilton new york citi time squar,Very Good
"The Historic Blue Angel Hotel Lexington Ave, Ascend Hotel Collection",histor blue angel hotel lexington ave ascend hotel collect,Excellent
Sixty LES,sixti le,Good
InterContinental New York Times Square by IHG,intercontinent new york time squar ihg,Very Good
Tempo By Hilton New York Times Square,tempo hilton new york time squar,Excellent
Renaissance New York Harlem Hotel,renaiss new york harlem hotel,Good
Pod 51,pod 51,Good
Hyatt Grand Central New York,hyatt grand central new york,Good
The Ridge,ridg,Good
Pod 39,pod 39,Very Good
Aura Hotel Times Square Newly Renovated,aura hotel time squar newli renov,Good
Riu Plaza New York Times Square,riu plaza new york time squar,Excellent
voco Times Square South New York by IHG,voco time squar south new york ihg,Very Good
Holiday Inn Express Manhattan Midtown West by IHG,holiday inn express manhattan midtown west ihg,Good
Aliz Hotel Times Square,aliz hotel time squar,Very Good
Hampton Inn Times Square Central,hampton inn time squar central,Very Good
Hotel Belleclaire Central Park,hotel belleclair central park,Very Good
Element Times Square West,element time squar west,Very Good
TownePlace Suites by Marriott New York Manhattan/Times Square,towneplac suit marriott new york manhattantim squar,Very Good
Riverside Tower Hotel,riversid tower hotel,Very Good
Hyatt Place New York City - Times Square,hyatt place new york citi time squar,Good
Home2 Suites By Hilton New York Times Square,home2 suit hilton new york time squar,Good
Kixby,kixbi,Very Good
Paramount Hotel Times Square,paramount hotel time squar,Good
"The Mayfair Hotel Times Square, Ascend Hotel Collection",mayfair hotel time squar ascend hotel collect,Very Good
Chelsea Rooms NYC,chelsea room nyc,Good
Hampton Inn by Hilton New York Times Square,hampton inn hilton new york time squar,Good
"The New Yorker, A Wyndham Hotel",new yorker wyndham hotel,Good
DoubleTree by Hilton New York Midtown Fifth Ave,doubletre hilton new york midtown fifth ave,Good
Hotel Edison Times Square,hotel edison time squar,Good
TRYP by Wyndham New York City Times Square - Midtown,tryp wyndham new york citi time squar midtown,Good
The Chelsean New York,chelsean new york,Good
Radio Hotel,radio hotel,Good
Hotel Hayden New York,hotel hayden new york,Good
The Gregorian New York City,gregorian new york citi,Very Good
Hampton Inn Manhattan-35th St Empire State Bldg,hampton inn manhattan35th st empir state bldg,Very Good
Royalton New York,royalton new york,Good
Madison LES Hotel,madison le hotel,Good
UNTITLED at 3 Freeman Alley,untitl 3 freeman alley,Very Good
City Club Hotel,citi club hotel,Good
45 Times Square Hotel,45 time squar hotel,Very Good
"The Cloud One New York-Downtown, by the Motel One Group",cloud one new yorkdowntown motel one group,Excellent
InterContinental New York Barclay Hotel by IHG,intercontinent new york barclay hotel ihg,Very Good
Warwick New York,warwick new york,Very Good
The Shelburne Sonesta New York,shelburn sonesta new york,Very Good
New York Hilton Midtown,new york hilton midtown,Good
Pestana CR7 Times Square,pestana cr7 time squar,Excellent
Motto By Hilton New York City Times Square,motto hilton new york citi time squar,Very Good
"The Historic Blue Angel Hotel Lexington Ave, Ascend Hotel Collection",histor blue angel hotel lexington ave ascend hotel collect,Excellent
Sixty LES,sixti le,Good
InterContinental New York Times Square by IHG,intercontinent new york time squar ihg,Very Good
Tempo By Hilton New York Times Square,tempo hilton new york time squar,Excellent
Renaissance New York Harlem Hotel,renaiss new york harlem hotel,Good
Pod 51,pod 51,Good
Hyatt Grand Central New York,hyatt grand central new york,Good
The Ridge,ridg,Good
Pod 39,pod 39,Very Good
Aura Hotel Times Square Newly Renovated,aura hotel time squar newli renov,Good
Riu Plaza New York Times Square,riu plaza new york time squar,Excellent
voco Times Square South New York by IHG,voco time squar south new york ihg,Very Good
Holiday Inn Express Manhattan Midtown West by IHG,holiday inn express manhattan midtown west ihg,Good
Aliz Hotel Times Square,aliz hotel time squar,Very Good
Hampton Inn Times Square Central,hampton inn time squar central,Very Good
Hotel Belleclaire Central Park,hotel belleclair central park,Very Good
Element Times Square West,element time squar west,Very Good
The Evelyn NoMad,evelyn nomad,Very Good
Holiday Inn Express Manhattan Midtown West by IHG,holiday inn express manhattan midtown west ihg,Good
Hyatt Place New York City - Times Square,hyatt place new york citi time squar,Good
Pod Times Square,pod time squar,Very Good
Home2 Suites By Hilton New York Times Square,home2 suit hilton new york time squar,Good
"The Mayfair Hotel Times Square, Ascend Hotel Collection",mayfair hotel time squar ascend hotel collect,Very Good
"The New Yorker, A Wyndham Hotel",new yorker wyndham hotel,Good
Hampton Inn by Hilton New York Times Square,hampton inn hilton new york time squar,Good
DoubleTree by Hilton New York Midtown Fifth Ave,doubletre hilton new york midtown fifth ave,Good
Citadines Connect Fifth Avenue New York,citadin connect fifth avenu new york,Good
Hotel Hayden New York,hotel hayden new york,Good
Hotel Edison Times Square,hotel edison time squar,Good
voco Times Square South New York by IHG,voco time squar south new york ihg,Very Good
The Chelsean New York,chelsean new york,Good
Hampton Inn Manhattan-35th St Empire State Bldg,hampton inn manhattan35th st empir state bldg,Very Good
Eurostars Wall Street,eurostar wall street,Very Good
TRYP by Wyndham New York City Times Square - Midtown,tryp wyndham new york citi time squar midtown,Good
Millennium Hotel Broadway Times Square,millennium hotel broadway time squar,Good
Paramount Hotel Times Square,paramount hotel time squar,Good
Pestana CR7 Times Square,pestana cr7 time squar,Excellent
Radio Hotel,radio hotel,Good
45 Times Square Hotel,45 time squar hotel,Very Good
Hampton Inn Times Square Central,hampton inn time squar central,Very Good
Pod 39,pod 39,Very Good
Tempo By Hilton New York Times Square,tempo hilton new york time squar,Excellent
Element Times Square West,element time squar west,Very Good
Renaissance New York Harlem Hotel,renaiss new york harlem hotel,Good
New York Hilton Midtown,new york hilton midtown,Good
The Gregorian New York City,gregorian new york citi,Very Good
InterContinental New York Barclay Hotel by IHG,intercontinent new york barclay hotel ihg,Very Good
Holiday Inn Manhattan 6th Ave - Chelsea by IHG,holiday inn manhattan 6th ave chelsea ihg,Good
Sixty LES,sixti le,Good
Four Points by Sheraton Midtown - Times Square,four point sheraton midtown time squar,Very Good
Fairfield Inn & Suites New York Manhattan/Downtown East,fairfield inn suit new york manhattandowntown east,Very Good
Motto By Hilton New York City Times Square,motto hilton new york citi time squar,Very Good
Pod 51,pod 51,Good
TownePlace Suites by Marriott New York Manhattan/Chelsea,towneplac suit marriott new york manhattanchelsea,Very Good
Archer Hotel New York,archer hotel new york,Excellent
InterContinental New York Times Square by IHG,intercontinent new york time squar ihg,Very Good
Romer Hell's Kitchen,romer hell kitchen,Excellent
Holiday Inn Express - Times Square by IHG,holiday inn express time squar ihg,Good
Hyatt Place New York/Midtown-South,hyatt place new yorkmidtownsouth,Very Good
The Pearl Hotel,pearl hotel,Excellent
Holiday Inn Express - Wall Street by IHG,holiday inn express wall street ihg,Good
Warwick New York,warwick new york,Very Good
Cambria Hotel New York - Chelsea,cambria hotel new york chelsea,Very Good
The Evelyn NoMad,evelyn nomad,Very Good
Holiday Inn Express Manhattan Midtown West by IHG,holiday inn express manhattan midtown west ihg,Good
Hyatt Place New York City - Times Square,hyatt place new york citi time squar,Good
Pod Times Square,pod time squar,Very Good
Home2 Suites By Hilton New York Times Square,home2 suit hilton new york time squar,Good
"The Mayfair Hotel Times Square, Ascend Hotel Collection",mayfair hotel time squar ascend hotel collect,Very Good
"The New Yorker, A Wyndham Hotel",new yorker wyndham hotel,Good
Hampton Inn by Hilton New York Times Square,hampton inn hilton new york time squar,Good
DoubleTree by Hilton New York Midtown Fifth Ave,doubletre hilton new york midtown fifth ave,Good
Citadines Connect Fifth Avenue New York,citadin connect fifth avenu new york,Good
Hotel Hayden New York,hotel hayden new york,Good
Hotel Edison Times Square,hotel edison time squar,Good
voco Times Square South New York by IHG,voco time squar south new york ihg,Very Good
The Chelsean New York,chelsean new york,Good
Hampton Inn Manhattan-35th St Empire State Bldg,hampton inn manhattan35th st empir state bldg,Very Good
Eurostars Wall Street,eurostar wall street,Very Good
TRYP by Wyndham New York City Times Square - Midtown,tryp wyndham new york citi time squar midtown,Good
Millennium Hotel Broadway Times Square,millennium hotel broadway time squar,Good
Paramount Hotel Times Square,paramount hotel time squar,Good
Pestana CR7 Times Square,pestana cr7 time squar,Excellent
Radio Hotel,radio hotel,Good
45 Times Square Hotel,45 time squar hotel,Very Good
Hampton Inn Times Square Central,hampton inn time squar central,Very Good
Pod 39,pod 39,Very Good
Tempo By Hilton New York Times Square,tempo hilton new york time squar,Excellent
Element Times Square West,element time squar west,Very Good
Renaissance New York Harlem Hotel,renaiss new york harlem hotel,Good
New York Hilton Midtown,new york hilton midtown,Good
The Gregorian New York City,gregorian new york citi,Very Good
InterContinental New York Barclay Hotel by IHG,intercontinent new york barclay hotel ihg,Very Good
Holiday Inn Manhattan 6th Ave - Chelsea by IHG,holiday inn manhattan 6th ave chelsea ihg,Good
Sixty LES,sixti le,Good
Four Points by Sheraton Midtown - Times Square,four point sheraton midtown time squar,Very Good
Fairfield Inn & Suites New York Manhattan/Downtown East,fairfield inn suit new york manhattandowntown east,Very Good
Motto By Hilton New York City Times Square,motto hilton new york citi time squar,Very Good
Pod 51,pod 51,Good
TownePlace Suites by Marriott New York Manhattan/Chelsea,towneplac suit marriott new york manhattanchelsea,Very Good
Archer Hotel New York,archer hotel new york,Excellent
InterContinental New York Times Square by IHG,intercontinent new york time squar ihg,Very Good
Romer Hell's Kitchen,romer hell kitchen,Excellent
Holiday Inn Express - Times Square by IHG,holiday inn express time squar ihg,Good
Hyatt Place New York/Midtown-South,hyatt place new yorkmidtownsouth,Very Good
The Pearl Hotel,pearl hotel,Excellent
Holiday Inn Express - Wall Street by IHG,holiday inn express wall street ihg,Good
Warwick New York,warwick new york,Very Good
Cambria Hotel New York - Chelsea,cambria hotel new york chelsea,Very Good
Pod Times Square,pod time squar,Very Good
"The Mayfair Hotel Times Square, Ascend Hotel Collection",mayfair hotel time squar ascend hotel collect,Very Good
Element Times Square West,element time squar west,Very Good
Pod 39,pod 39,Very Good
Hyatt Place New York City - Times Square,hyatt place new york citi time squar,Good
Home2 Suites By Hilton New York Times Square,home2 suit hilton new york time squar,Good
Renaissance New York Harlem Hotel,renaiss new york harlem hotel,Good
"The New Yorker, A Wyndham Hotel",new yorker wyndham hotel,Good
Fairfield Inn by Marriott New York Manhattan/Financial District,fairfield inn marriott new york manhattanfinanci district,Good
Archer Hotel New York,archer hotel new york,Excellent
Hampton Inn by Hilton New York Times Square,hampton inn hilton new york time squar,Good
Hotel Hayden New York,hotel hayden new york,Good
voco Times Square South New York by IHG,voco time squar south new york ihg,Very Good
TownePlace Suites by Marriott New York Manhattan/Times Square,towneplac suit marriott new york manhattantim squar,Very Good
Hilton Garden Inn New York Times Square South,hilton garden inn new york time squar south,Very Good
Hotel Edison Times Square,hotel edison time squar,Good
Millennium Hotel Broadway Times Square,millennium hotel broadway time squar,Good
The Chelsean New York,chelsean new york,Good
DoubleTree by Hilton New York Midtown Fifth Ave,doubletre hilton new york midtown fifth ave,Good
Hampton Inn Manhattan-35th St Empire State Bldg,hampton inn manhattan35th st empir state bldg,Very Good
Citadines Connect Fifth Avenue New York,citadin connect fifth avenu new york,Good
"Hotel Shocard Broadway, Times Square",hotel shocard broadway time squar,Good
